Route,avg_temp_c,avg_wind_knots,avg_turbulence,avg_visibility_km
ATL_AUS,4.2727272727272725,25.636363636363637,1.9090909090909092,10.090909090909092
ATL_BNA,0.3333333333333333,22.666666666666668,1.6666666666666667,12.666666666666666
ATL_BOS,4.333333333333333,26.416666666666668,2.25,9.25
ATL_CLT,14.75,23.625,2.375,11.5
ATL_CMH,10.25,27.75,2.375,11.125
ATL_DEN,13.454545454545455,17.09090909090909,1.8181818181818181,9.090909090909092
ATL_DFW,9.1875,25.5625,1.6875,9.875
ATL_DTW,7.05,24.0,1.85,11.65
ATL_IAD,13.5,26.6875,1.8125,11.3125
ATL_IAH,4.444444444444445,20.88888888888889,2.4444444444444446,12.333333333333334
ATL_IND,6.142857142857143,25.857142857142858,1.7142857142857142,11.5
ATL_JFK,6.375,25.5,2.125,8.875
ATL_LAS,7.6,24.1,2.1,10.6
ATL_LAX,7.142857142857143,23.5,2.142857142857143,10.285714285714286
ATL_MCI,5.555555555555555,30.22222222222222,2.0,11.0
ATL_MCO,12.136363636363637,24.181818181818183,2.0,10.227272727272727
ATL_MIA,14.4,29.0,2.2666666666666666,11.133333333333333
ATL_MSP,12.0,28.083333333333332,2.1666666666666665,10.666666666666666
ATL_ORD,9.0,21.375,2.125,10.5
ATL_PDX,12.454545454545455,30.545454545454547,1.8181818181818181,7.2727272727272725
ATL_PHL,1.7272727272727273,28.09090909090909,2.0,13.272727272727273
ATL_PHX,12.0,33.07692307692308,2.0,11.23076923076923
ATL_SAN,4.083333333333333,29.333333333333332,2.1666666666666665,9.166666666666666
ATL_SEA,5.846153846153846,22.53846153846154,2.5384615384615383,11.384615384615385
ATL_SFO,9.88888888888889,25.77777777777778,1.6666666666666667,11.444444444444445
ATL_SLC,4.111111111111111,31.77777777777778,2.111111111111111,12.88888888888889
ATL_STL,10.166666666666666,19.333333333333332,2.0,8.0
ATL_TPA,0.3333333333333333,19.583333333333332,2.25,11.666666666666666
AUS_ATL,13.083333333333334,26.666666666666668,1.9166666666666667,12.5
AUS_BNA,12.285714285714286,22.285714285714285,2.0,12.714285714285714
AUS_BOS,2.0,29.53846153846154,1.7692307692307692,10.923076923076923
AUS_CLT,6.166666666666667,31.583333333333332,2.0,8.75
AUS_CMH,4.75,26.375,2.3125,12.5625
AUS_DEN,4.6,18.1,2.0,13.6
AUS_DFW,8.583333333333334,19.416666666666668,2.0833333333333335,11.5
AUS_DTW,12.61111111111111,21.833333333333332,1.8888888888888888,10.944444444444445
AUS_IAD,7.416666666666667,20.166666666666668,2.0,11.833333333333334
AUS_IAH,12.625,22.5,2.125,11.0
AUS_IND,7.470588235294118,25.705882352941178,2.0588235294117645,11.470588235294118
AUS_JFK,11.333333333333334,27.0,2.4166666666666665,13.583333333333334
AUS_LAS,6.8,25.933333333333334,2.1333333333333333,9.866666666666667
AUS_LAX,11.176470588235293,27.647058823529413,2.0588235294117645,9.294117647058824
AUS_MCI,6.125,17.75,2.1875,9.5625
AUS_MCO,14.95,29.35,1.8,10.9
AUS_MIA,7.181818181818182,22.545454545454547,1.9090909090909092,10.636363636363637
AUS_MSP,10.333333333333334,25.25,2.1666666666666665,11.416666666666666
AUS_ORD,7.25,27.875,1.625,7.625
AUS_PDX,0.0,20.11764705882353,2.235294117647059,11.058823529411764
AUS_PHL,10.571428571428571,29.61904761904762,1.8571428571428572,12.761904761904763
AUS_PHX,9.066666666666666,26.866666666666667,2.066666666666667,10.666666666666666
AUS_SAN,2.5,26.6875,2.0625,10.75
AUS_SEA,13.928571428571429,24.428571428571427,1.9285714285714286,11.5
AUS_SFO,9.04,23.8,1.8,11.08
AUS_SLC,16.75,27.125,2.125,7.5
AUS_STL,14.166666666666666,29.083333333333332,1.9166666666666667,7.833333333333333
AUS_TPA,18.615384615384617,23.923076923076923,1.7692307692307692,11.153846153846153
BNA_ATL,12.555555555555555,20.333333333333332,1.6666666666666667,4.777777777777778
BNA_AUS,-1.6666666666666667,27.833333333333332,2.0833333333333335,12.166666666666666
BNA_BOS,3.25,24.416666666666668,1.75,10.833333333333334
BNA_CLT,11.642857142857142,28.285714285714285,2.0,11.5
BNA_CMH,3.235294117647059,26.705882352941178,1.8823529411764706,8.294117647058824
BNA_DEN,12.076923076923077,23.76923076923077,2.1538461538461537,7.538461538461538
BNA_DFW,14.545454545454545,27.818181818181817,1.7727272727272727,11.772727272727273
BNA_DTW,-1.8,16.6,2.2,8.6
BNA_IAD,13.642857142857142,29.571428571428573,1.9285714285714286,9.428571428571429
BNA_IAH,10.4,14.4,2.5,10.5
BNA_IND,14.272727272727273,26.363636363636363,2.3636363636363638,7.636363636363637
BNA_JFK,8.428571428571429,38.714285714285715,2.0,10.0
BNA_LAS,8.428571428571429,24.928571428571427,2.142857142857143,8.857142857142858
BNA_LAX,9.266666666666667,24.333333333333332,2.3333333333333335,9.333333333333334
BNA_MCI,15.625,30.9375,2.3125,8.875
BNA_MCO,8.785714285714286,24.071428571428573,1.7857142857142858,11.5
BNA_MIA,5.714285714285714,25.928571428571427,2.0714285714285716,12.0
BNA_MSP,14.0,21.5,2.125,10.25
BNA_ORD,5.538461538461538,32.30769230769231,1.7692307692307692,10.923076923076923
BNA_PDX,13.777777777777779,29.833333333333332,2.0555555555555554,9.555555555555555
BNA_PHL,16.125,21.0,1.5,10.0
BNA_PHX,6.785714285714286,26.642857142857142,1.9285714285714286,10.928571428571429
BNA_SAN,16.818181818181817,24.363636363636363,2.1818181818181817,9.363636363636363
BNA_SEA,11.875,19.25,1.75,12.625
BNA_SFO,12.0,22.428571428571427,1.8571428571428572,8.928571428571429
BNA_SLC,2.652173913043478,26.217391304347824,1.9130434782608696,10.391304347826088
BNA_STL,8.857142857142858,30.714285714285715,2.4285714285714284,7.928571428571429
BNA_TPA,6.7272727272727275,37.72727272727273,2.3636363636363638,8.636363636363637
BOS_ATL,18.333333333333332,28.333333333333332,2.5,13.166666666666666
BOS_AUS,11.916666666666666,13.25,1.9166666666666667,8.5
BOS_BNA,4.4375,30.0,2.125,9.3125
